Detail_url,Name,Rating,Genre,Date,Runtime,Director
https://www.themoviedb.org/movie/760161,Orphan: First Kill,69.0,"Horror, Thriller",27/07/2022 (PH),1h 39m,William Brent Bell
https://www.themoviedb.org/movie/718930,Bullet Train,75.0,"Action, Comedy, Thriller",05/08/2022 (US),2h 7m,Zak Olkewicz
https://www.themoviedb.org/movie/744276,After Ever Happy,69.0,"Romance, Drama",07/09/2022 (US),1h 35m,Anna Todd
https://www.themoviedb.org/movie/532639,Pinocchio,67.0,"Fantasy, Adventure, Family",08/09/2022 (IN),1h 45m,Chris Weitz
https://www.themoviedb.org/movie/616037,Thor: Love and Thunder,68.0,"Fantasy, Action, Comedy",08/07/2022 (US),1h 59m,Stan Lee
https://www.themoviedb.org/movie/629176,Samaritan,70.0,"Action, Drama, Science Fiction",25/08/2022 (US),1h 42m,Bragi Schut
https://www.themoviedb.org/movie/539681,DC League of Super-Pets,75.0,"Animation, Action, Family, Comedy, Science Fiction",29/07/2022 (US),1h 45m,Bob Kane
https://www.themoviedb.org/movie/438148,Minions: The Rise of Gru,76.0,"Animation, Adventure, Comedy, Fantasy",01/07/2022 (US),1h 27m,Cinco Paul
https://www.themoviedb.org/movie/507086,Jurassic World Dominion,70.0,"Adventure, Action, Science Fiction",10/06/2022 (US),2h 27m,Michael Crichton
https://www.themoviedb.org/movie/579974,RRR,78.0,"Action, Drama",25/03/2022 (IN),3h 2m,Vijayendra Prasad
https://www.themoviedb.org/movie/361743,Top Gun: Maverick,84.0,"Action, Drama",27/05/2022 (IN),2h 11m,Jack Epps Jr.
https://www.themoviedb.org/movie/756999,The Black Phone,79.0,"Horror, Thriller",24/06/2021 (US),1h 43m,C. Robert Cargill
https://www.themoviedb.org/movie/843633,White Elephant,66.0,"Action, Crime, Thriller",03/06/2022 (US),1h 33m,Erik Martinez
https://www.themoviedb.org/movie/429473,Lou,65.0,"Action, Thriller",23/09/2022 (US),1h 47m,Anna Foerster
https://www.themoviedb.org/movie/960700,Fullmetal Alchemist: The Revenge of Scar,70.0,"Fantasy, Action, Adventure",20/05/2022 (JP),2h 5m,Takeshi Miyamoto
https://www.themoviedb.org/movie/773867,Seoul Vibe,69.0,"Action, Crime, Comedy, Adventure",26/08/2022 (KR),2h 20m,Shin Su-ah
https://www.themoviedb.org/movie/773975,End of the Road,65.0,"Thriller, Drama, Crime",09/09/2022 (US),1h 29m,David Loughery
https://www.themoviedb.org/movie/675353,Sonic the Hedgehog 2,77.0,"Action, Adventure, Family, Comedy",08/04/2022 (US),2h 2m,Josh Miller
https://www.themoviedb.org/movie/634649,Spider-Man: No Way Home,80.0,"Action, Adventure, Science Fiction",17/12/2021 (IN),2h 28m,Stan Lee
https://www.themoviedb.org/movie/838197,"Watch Out, We're Mad",52.0,"Comedy, Action",23/03/2022 (IT),1h 30m,Niccolò Celaia
https://www.themoviedb.org/movie/453395,Doctor Strange in the Multiverse of Madness,75.0,"Fantasy, Action, Adventure",06/05/2022 (IN),2h 6m,Steve Ditko
https://www.themoviedb.org/movie/585511,Luck,80.0,"Animation, Adventure, Comedy, Fantasy",05/08/2022 (GB),1h 45m,Peggy Holmes
https://www.themoviedb.org/movie/1015602,Welcome to the Club,66.0,"Animation, Comedy",08/09/2022 (US),4m,J. Stewart Burns
https://www.themoviedb.org/movie/924482,The Ledge,63.0,"Thriller, Adventure, Mystery, Action, Crime",15/06/2022 (KR),1h 26m,Tom Boyle
https://www.themoviedb.org/movie/642885,Hocus Pocus 2,79.0,"Fantasy, Comedy, Family",30/09/2022 (US),1h 47m,Anne Fletcher
https://www.themoviedb.org/movie/508947,Turning Red,75.0,"Animation, Family, Comedy, Fantasy",10/03/2022 (CZ),1h 40m,Julia Cho
https://www.themoviedb.org/movie/718789,Lightyear,72.0,"Animation, Family",17/06/2022 (US),1h 45m,Jason Headley
https://www.themoviedb.org/movie/997120,Sniper: Rogue Mission,69.0,"Action, Thriller, Mystery",16/08/2022 (US),1h 36m,Oliver Thompson
https://www.themoviedb.org/movie/414906,The Batman,77.0,"Crime, Mystery, Thriller",04/03/2022 (IN),2h 57m,Bob Kane
https://www.themoviedb.org/movie/568124,Encanto,77.0,"Animation, Comedy, Family, Fantasy",24/11/2021 (US),1h 42m,Byron Howard
https://www.themoviedb.org/movie/1010818,Groot's First Steps,74.0,"Animation, Family, Comedy, Science Fiction",10/08/2022 (US),6m,Jack Kirby
https://www.themoviedb.org/movie/1006851,Office Invasion,58.0,"Science Fiction, Comedy, Action",10/08/2022 (US),1h 52m,Fred Wolmarans
https://www.themoviedb.org/movie/961484,Last Seen Alive,66.0,"Action, Thriller",19/05/2022 (AU),1h 35m,Marc Frydman
https://www.themoviedb.org/movie/752623,The Lost City,68.0,"Action, Adventure, Comedy",25/03/2022 (US),1h 52m,Aaron Nee
https://www.themoviedb.org/movie/744275,After We Fell,72.0,"Romance, Drama",30/09/2021 (US),1h 39m,Anna Todd
https://www.themoviedb.org/movie/537915,After,72.0,"Romance, Drama",12/04/2019 (US),1h 46m,Anna Todd
https://www.themoviedb.org/movie/755566,Day Shift,69.0,"Action, Fantasy, Horror, Comedy",12/08/2022 (US),1h 53m,J.J. Perry
https://www.themoviedb.org/movie/852448,I Came By,64.0,Thriller,19/08/2022 (GB),1h 50m,Namsi Khan
https://www.themoviedb.org/movie/818397,Memory,72.0,"Action, Thriller, Crime",29/04/2022 (US),1h 54m,Dario Scardapane
https://www.themoviedb.org/movie/833950,Little Lies,78.0,"Comedy, Romance, Thriller",21/09/2022 (AR),1h 32m,Leonel D'Agostino
https://www.themoviedb.org/movie/639933,The Northman,72.0,"Action, Adventure, Fantasy",22/04/2022 (US),2h 17m,Sjón
https://www.themoviedb.org/movie/1014676,Ivy + Bean: The Ghost That Had to Go,47.0,"Family, Comedy",02/09/2022 (US),1h 2m,Kathy Waugh
https://www.themoviedb.org/movie/613504,After We Collided,72.0,"Romance, Drama",02/09/2020 (IT),1h 45m,Mario Celaya
https://www.themoviedb.org/movie/626735,Dog,74.0,"Drama, Comedy",18/02/2022 (US),1h 42m,Channing Tatum
https://www.themoviedb.org/movie/585083,Hotel Transylvania: Transformania,71.0,"Animation, Comedy, Family, Fantasy, Adventure",25/02/2022 (US),1h 27m,Jennifer Kluska
https://www.themoviedb.org/movie/338953,Fantastic Beasts: The Secrets of Dumbledore,69.0,"Fantasy, Adventure, Action",15/04/2022 (US),2h 22m,David Yates
https://www.themoviedb.org/movie/335787,Uncharted,71.0,"Action, Adventure",18/02/2022 (US),1h 56m,Art Marcum
https://www.themoviedb.org/movie/580489,Venom: Let There Be Carnage,69.0,"Science Fiction, Action, Adventure",01/10/2021 (US),1h 37m,David Michelinie
https://www.themoviedb.org/movie/762968,Do Revenge,67.0,Comedy,16/09/2022 (US),1h 58m,Celeste Ballard
https://www.themoviedb.org/movie/864370,Incantation,69.0,Horror,18/03/2022 (TW),1h 51m,Zhang Zhe Wai
https://www.themoviedb.org/movie/725201,The Gray Man,70.0,"Action, Thriller",13/07/2022 (IT),2h 7m,Anthony Russo
https://www.themoviedb.org/movie/459151,The Boss Baby: Family Business,75.0,"Animation, Comedy, Adventure, Family",02/07/2021 (US),1h 47m,Tom McGrath
